modelled_crossing_id,structure,watershed_group_code,reviewer,notes
100151,OBS,ADMS,PK,
100553,NONE,ADMS,PK,no road
101833,OBS,ADMS,PK,
102295,OBS,ADMS,PK,
200073,OBS,ALBN,OB,
200080,OBS,ALBN,OB,
200141,NONE,ALBN,OB,no road/structure
200223,NONE,ALBN,OB,no road/structure
200223,NONE,ALBN,OB,no road/structure
200772,NONE,ALBN,OB,no road/structure
201136,NONE,ALBN,OB,no road/structure
201160,NONE,ALBN,OB,no road/structure
201772,OBS,ALBN,OB,
201921,NONE,ALBN,OB,no road/structure
201921,NONE,ALBN,OB,no road/structure
201927,NONE,ALBN,OB,no road/structure
202405,OBS,ALBN,OB,
202554,OBS,ALBN,OB,
202812,OBS,ALBN,OB,
203158,NONE,ALBN,OB,no road/structure
203306,NONE,ALBN,OB,no road/structure
203655,OBS,ALBN,OB,
204057,OBS,ALBN,OB,
204059,OBS,ALBN,OB,
205052,OBS,ALBN,OB,
205157,OBS,ALBN,OB,
205297,OBS,ALBN,OB,
205382,NONE,ALBN,OB,no road/structure
205573,NONE,ALBN,OB,no road/structure
205615,OBS,ALBN,OB,
206263,OBS,ALBN,OB,
206309,OBS,ALBN,OB,
206560,NONE,ALBN,OB,no road/structure
500499,NONE,BABL,NMW,no road/structure
500555,NONE,BABL,NMW,no road/structure
500623,NONE,BABL,NMW,no road/structure
500624,NONE,BABL,NMW,no road/structure
500646,NONE,BABL,NMW,no road/structure
500808,NONE,BABL,NMW,no road/structure
501268,NONE,BABL,NMW,second opinion
501692,OBS,BABL,NMW,
502157,OBS,BABL,NMW,
502159,OBS,BABL,NMW,
502170,OBS,BABL,NMW,
502182,OBS,BABL,NMW,
502187,OBS,BABL,NMW,
502449,NONE,BABL,NMW,no road/structure
502595,OBS,BABL,NMW,
502711,OBS,BABL,NMW,
502713,OBS,BABL,NMW,
502716,OBS,BABL,NMW,
502726,OBS,BABL,NMW,
502786,OBS,BABL,NMW,
502789,OBS,BABL,NMW,
502975,OBS,BABL,NMW,
503204,OBS,BABL,NMW,
503341,OBS,BABL,NMW,
503588,NONE,BABL,NMW,no road/structure
503611,OBS,BABL,NMW,
503887,OBS,BABL,NMW,
504214,NONE,BABL,NMW,no road/structure
504224,NONE,BABL,NMW,no road/structure
504327,NONE,BABL,NMW,no road/structure
600318,NONE,BABR,OB,no road
600370,OBS,BABR,OB,
600371,OBS,BABR,OB,
600379,OBS,BABR,OB,
600387,OBS,BABR,OB,
600459,NONE,BABR,OB,no road
600468,OBS,BABR,OB,
600557,NONE,BABR,OB,no road
