blue_line_key,downstream_route_measure,upstream_route_measure,species_code,habitat_type,habitat_ind,reviewer,watershed_group_code,source,notes
356357296,63276.91548,66821.92263,SK,spawning,t,SH,HORS,SH,Horsefly R below falls
356357296,61020.97868,63084.42272,SK,spawning,t,SH,HORS,SH,Horsefly R below McKinley Cr
356357296,59620.71697,61020.97905,SK,spawning,t,SH,HORS,SH,Horsefly R below Black Cr
356357296,59426.66054,59620.71706,SK,spawning,t,SH,HORS,SH,Horsefly R below Wilmot Cr(extends d/s in North fork)
356357296,36486.26566,39289.9023,SK,spawning,t,SH,HORS,SH,"Horsefly R below Woodjam Cr - Potential, limited"
356357296,35091.84208,36486.26484,SK,spawning,t,SH,HORS,SH,Horsefly R below Deerhorn Cr
356357296,27557.65276,35091.84312,SK,spawning,t,SH,HORS,SH,Horsefly R below Sucker Cr
356357296,26730.08995,27557.6527,SK,spawning,t,SH,HORS,SH,Horsefly R below Moffat Cr
356357296,21691.91268,26703.16773,SK,spawning,t,SH,HORS,SH,Horsefly R below Harper's Cr
356357296,14585.31952,21691.9122,SK,spawning,t,SH,HORS,SH,Horsefly R below Little Horsefly R
356357296,4240.676247,14585.32014,SK,spawning,t,SH,HORS,SH,Horsefly R below Rat Cr
356361560,21.01542555,7085.115218,SK,spawning,t,SH,HORS,SH,Moffat Cr (flow goes in west fork)
356343490,18.22060553,1170.652664,SK,spawning,t,SH,HORS,SH,Tisdall Cr - potential
356357296,58225.59853,59426.66031,SK,spawning,t,SH,HORS,SH,"Horsefly R to Tisdall Cr (poor connectivity, possibly in North fork)"
356363537,38,4432,SK,spawning,t,SH,HORS,SH,McKinley Cr
356363537,14990,30685,SK,spawning,t,SH,HORS,SH,McKinley Cr
356356315,35.29829167,4308.074094,SK,spawning,t,SH,HORS,SH,Little Horsefly River
356356315,5718.337728,6831.724972,SK,spawning,f,SH,HORS,SH,Little Horsefly River
356317730,43.70879832,2087,CH,spawning,t,SH,HORS,SH,Black Cr potential habitat
356353773,4507.187459,7476.221502,CH,spawning,t,SH,HORS,SH,Molybdenite Creek -  potential chinook spawning in lower section
356357296,36891.11953,58225.59911,CH,spawning,f,SH,HORS,SH,Horsefly R below Tisdall Cr - not spawning habitat
356328230,35.69623673,1061.635866,CH,spawning,f,SH,HORS,SH,Woodjam Cr
356363840,60.40284812,476.8271856,CH,rearing,t,SH,HORS,SH,Rat Cr
356363537,15150.96019,26748.84973,CH,rearing,t,SH,HORS,SH,McKinley Cr
356363270,91.47701028,966.0677067,CH,rearing,t,SH,HORS,SH,Woodjam tributary
356358551,13.82972652,1549.46438,CH,rearing,t,SH,HORS,SH,Patenaude Cr
356357017,62.345211,439,CH,rearing,t,SH,HORS,SH,Elbow Lake to McKinley Cr
356355495,65.87069098,858.2731869,CH,rearing,t,SH,HORS,SH,Side channel temporary refuge
356349383,24.32381443,1014.312551,CH,rearing,t,SH,HORS,SH,Small tribs between Woodjam Cr & Kroener Cr
